input	zero_digits	digit_order	cube	period	operation	length	sha256	ngram	ioc
forward	0	forward	standard	18	decrypt	919	963ae7b3ee82371251b87ebaf9aab2d1662f1b278171be35f2765ded57ccd4af	-13.244746484185772	0.036927986041472564
forward	0	forward	standard	18	encrypt	919	7467195e6da0babdfef290ec38a283af4eb7a6ddce23cea631c5f8f0d56b2858	-13.241398291061559	0.03727173374488231
forward	0	forward	standard	19	decrypt	919	ea65eddd4afe7894af29a1c2c5db82c524ce9494a358a8e43bcfcb1f54ae2ee6	-13.233544922264183	0.03698014086543818
forward	0	forward	standard	19	encrypt	919	a6fdfb4ca24d90a0151cfd85db377181a95062edd6b53bb45cfea24189cda31b	-13.245452409038311	0.03672173741942673
forward	0	forward	standard	20	decrypt	919	9cbed2e4151654fb468974dc2160f78ebbb108b02b3105501564c07f1a2bffc0	-13.233144221060352	0.03702281299413732
forward	0	forward	standard	20	encrypt	919	489cae5c8533c524d1f1d4cad5f6a2b969ebf03c7531b3c9b76f5405842cdcab	-13.242834619439185	0.03692324469383933
forward	0	forward	standard	21	decrypt	919	9a751448b5df5967c8c4bb29c9257099f2ce82cbf1c74f66c9bb3894ed01afa3	-13.217512318630739	0.03674781483140953
forward	0	forward	standard	21	encrypt	919	aec8bbc75bc41c5570dcf36477de531eac07a6c5a9d44f1ab3144645b4b54efa	-13.248070198637434	0.03729781115686512
forward	0	forward	standard	22	decrypt	919	8bce0e06f430840a1f2f731771640cdda0efb290ee1ca98b4f2d9dd227793964	-13.240216829840058	0.036887684586590044
forward	0	forward	standard	22	encrypt	919	eb489a4d50fbc45f9d8c2ce62469132cc72ad132605cd9bba511d1828198aaa7	-13.235762010659482	0.037328629916481164
forward	0	forward	standard	23	decrypt	919	911268efec348fcc8745595d2b0212150efd8b3b21166559b12023584c1f6479	-13.234275325789273	0.03715082938023474
forward	0	forward	standard	23	encrypt	919	d54c4f4ce4f6a284063d1ccc3b0cb4e8b62391a564fb9fcf5cf61758ce5357ab	-13.236893115388396	0.03679285763392529
forward	0	forward	standard	24	decrypt	919	26af000eb3251ec7f98a3d20be759cdf39726b1ebefb4c321a3746f607435299	-13.245452409038311	0.03734522463319749
forward	0	forward	standard	24	encrypt	919	fc5d5f33ee2ba25207325eaa4fb0c81ed49ca1977fac77b35e7d626151df3bdb	-13.245452409038311	0.03725750970198259
forward	0	forward	standard	25	decrypt	919	41576065f0e626a0f7c14df6e300e92f712ccd0a3c6539b0a21a44632690a192	-13.24021682984006	0.03693272738910581
forward	0	forward	standard	25	encrypt	919	5fe7861ec232cae034626ec1b2684e8a996f9a38f28d57be5da3dc52b5f6306e	-13.244746484185772	0.0369825115392548
forward	0	forward	standard	26	decrypt	919	a4cf6fa02f6832dfa48ef92c5e32dc7f99609ad1e03173a2e2b2b0ed4652614f	-13.229114581756154	0.03689716728185652
forward	0	forward	standard	26	encrypt	919	44e7fb69550975a487770151a20ad3a7c70a31867fa289f3a4ad1d1626191534	-13.232838997411646	0.037105786577718985
forward	0	forward	standard	27	decrypt	919	6b942a9529f2adf73587503b86e6338b3f5ede45f546541113d87d050a0c01c5	-13.240997589857733	0.03719824285656712
forward	0	forward	standard	27	encrypt	919	37b84acce750e9e9d4e2446db899b486665517c240ff9ed8fd06049ab97e994d	-13.245452409038311	0.03727173374488231
forward	0	forward	standard	28	decrypt	919	67b9d08fb4a0ba684455d2f1689e5ceb0cb3ba34463a1e73fd63f3b9cd58e2da	-13.242834619439183	0.037186389487484026
forward	0	forward	standard	28	encrypt	919	ab4fa689d0f79aa400f2f2fe86c1f242939ea362454b12e4ef4c2213d9d0b20c	-13.245452409038311	0.036927986041472564
forward	0	forward	standard	29	decrypt	919	701b4d379566e9d498f961d84851dd3b8a629012eb67b217aaa86ab2665c377c	-13.209629938908334	0.03680234032919177
forward	0	forward	standard	29	encrypt	919	8d9ab863429a1c56294cb49ef195f9b431ae7e1160da015305b97cfa9450cbc8	-13.229362292349386	0.03702044232032071
forward	0	forward	standard	30	decrypt	919	dee54e44583644b48fa65458e53b95cc00e606cfb50f62377afbec3c6ed9b0b5	-13.244746484185772	0.03725988037579921
forward	0	forward	standard	30	encrypt	919	1b4af829bbcb92cb0a0dbfcd9a702651509732c2f212316ff56e8f37998803c2	-13.245452409038311	0.037302552504498356
forward	0	forward	standard	31	decrypt	919	1154d4054d261bf5ad0dce44f212a63428edd66db3c2d7ca397c7ff59915cb68	-13.238542233377258	0.03742582754296254
forward	0	forward	standard	31	encrypt	919	82d4dbaae39603e402b3349b62ec8a2f31dd50955b5ee31c0c419dfbbcdd0639	-13.236893115388398	0.03660083305477916
forward	0	forward	standard	32	decrypt	919	c8c1fc5ca89a84dbe16d1ed8bcc774eb01b476ab9dc9e0d505c1f821efdaab3d	-13.242834619439185	0.03720298420420036
